DATE,TMIN,TAVG,TMAX,PAVG,PMIN,PMAX,stateProvince,total_n_species,Nymphalidae_n_species,Apidae_n_species,Noctuidae_n_species,Lepidoptera_n_species,Papilionidae_n_species,Coleoptera_n_species
1930,39.79,50.56,61.34,34.99444444444444,31.56,39.14,Connecticut,71,2.0,5.0,8.0,56.0,1.0,3.0
1931,41.077777777777776,51.56666666666667,62.04444444444445,37.69,31.21,43.14,Connecticut,31,2.0,,,24.0,,2.0
1932,40.054545454545455,50.44545454545455,60.85454545454545,45.719,39.46,50.93,Connecticut,49,3.0,,2.0,40.0,1.0,4.0
1933,40.48888888888889,50.32222222222222,60.14444444444444,43.52071428571429,37.65,48.71,Connecticut,37,1.0,1.0,3.0,23.0,3.0,2.0
1934,37.65,48.42,59.14,52.0825,44.04,60.87,Connecticut,70,,2.0,8.0,51.0,,4.0
1935,37.86,48.46,59.05,34.816153846153846,29.77,41.33,Connecticut,33,1.0,3.0,9.0,18.0,,3.0
1936,38.08,48.9,59.75,51.87857142857143,44.02,62.68,Connecticut,32,2.0,2.0,4.0,16.0,2.0,8.0
1937,39.583333333333336,50.08181818181818,60.5,54.66384615384615,45.82,63.08,Connecticut,34,1.0,4.0,,13.0,1.0,5.0
1938,38.87,50.1,61.37777777777777,59.10857142857143,52.89,66.4,Connecticut,90,12.0,1.0,15.0,70.0,3.0,5.0
1939,37.79166666666666,48.79,59.73,43.69166666666666,32.2,51.1,Connecticut,271,22.0,1.0,44.0,265.0,4.0,2.0
1940,36.03636363636363,46.42,56.845454545454544,48.321666666666665,42.42,52.21,Connecticut,270,22.0,1.0,38.0,252.0,4.0,5.0
1941,38.32857142857143,49.8,61.06666666666666,37.76416666666667,30.24,43.03,Connecticut,349,22.0,2.0,61.0,274.0,4.0,9.0
1942,38.43076923076923,48.760000000000005,59.17999999999999,52.02076923076923,45.53,58.63,Connecticut,143,9.0,11.0,1.0,47.0,1.0,10.0
1943,36.75,47.78,58.92999999999999,38.40933333333333,34.91,45.13,Connecticut,79,6.0,3.0,5.0,44.0,3.0,2.0
1944,37.84166666666667,48.71111111111111,60.1,44.436875,40.29,50.62,Connecticut,104,12.0,3.0,7.0,87.0,4.0,5.0
1945,38.32,49.26428571428572,60.00714285714286,53.26222222222222,39.16,69.2,Connecticut,52,3.0,3.0,3.0,28.0,,3.0
1946,38.38823529411765,49.85333333333333,61.28,38.61714285714286,31.81,43.42,Connecticut,88,7.0,3.0,3.0,50.0,,5.0
1947,38.48,49.47857142857144,60.18571428571429,43.9745,37.87,50.99,Connecticut,46,3.0,,3.0,26.0,,4.0
1948,36.5,48.06,59.02,46.42526315789474,40.05,51.01,Connecticut,27,2.0,,,10.0,,7.0
1949,40.64545454545455,51.73636363636364,62.85,39.030701754385966,29.04,52.73,Connecticut,118,13.0,,14.0,97.0,4.0,5.0
1950,38.54,48.73333333333333,58.93333333333333,44.22627906976744,36.82,53.25,Connecticut,200,17.0,,45.0,187.0,3.0,2.0
1951,39.87777777777777,49.96111111111111,60.142105263157895,51.997894736842106,41.83,64.91,Connecticut,137,15.0,1.0,32.0,125.0,2.0,1.0
1952,40.42352941176471,50.24117647058824,60.02352941176471,51.568163265306126,39.63,65.47,Connecticut,312,17.0,,92.0,304.0,4.0,
1953,40.88636363636363,51.45,61.9,55.52292307692307,44.38,68.42,Connecticut,300,15.0,1.0,72.0,277.0,2.0,2.0
1954,39.16666666666666,49.52,59.65294117647059,50.02316666666666,38.56,59.34,Connecticut,370,18.0,1.0,107.0,339.0,3.0,
1955,39.43846153846154,49.63076923076923,59.815384615384616,59.160370370370366,43.56,73.11,Connecticut,330,12.0,4.0,115.0,304.0,2.0,4.0
1956,38.07692307692308,48.23076923076923,58.37692307692308,44.94264150943396,38.1,52.24,Connecticut,283,8.0,,102.0,280.0,2.0,
1957,39.43333333333333,50.06666666666666,60.62,37.387142857142855,29.6,45.29,Connecticut,458,12.0,,175.0,454.0,2.0,1.0
1958,37.58571428571428,47.27619047619047,57.0,51.45015384615385,42.14,63.22,Connecticut,523,17.0,2.0,145.0,509.0,2.0,1.0
1959,39.278260869565216,49.647619047619045,60.10476190476191,48.79490909090909,38.13,60.36,Connecticut,531,16.0,2.0,162.0,525.0,3.0,2.0
1960,37.55714285714286,48.40952380952381,59.32727272727273,48.3423076923077,38.87,59.59,Connecticut,336,19.0,3.0,94.0,312.0,3.0,1.0
1961,38.44761904761905,48.7952380952381,59.142857142857146,44.17127272727273,35.04,58.06,Connecticut,307,14.0,2.0,74.0,287.0,1.0,3.0
1962,36.43,47.15263157894736,57.852631578947374,39.87041666666666,30.8,48.89,Connecticut,370,14.0,1.0,98.0,340.0,2.0,5.0
1963,36.66363636363637,47.79545454545455,58.96521739130435,38.850196078431374,30.8,47.06,Connecticut,289,7.0,2.0,108.0,264.0,2.0,1.0
1964,37.27,48.5,59.720000000000006,34.87608695652174,23.06,45.26,Connecticut,474,7.0,5.0,171.0,433.0,2.0,2.0
1965,37.53684210526316,48.28888888888889,58.96111111111111,31.33826086956521,23.59,38.88,Connecticut,384,6.0,10.0,130.0,350.0,2.0,2.0
1966,37.46666666666666,48.395,59.29047619047618,37.78416666666666,31.01,45.65,Connecticut,327,12.0,,96.0,279.0,3.0,3.0
1967,37.51428571428571,47.77,57.825,45.4115909090909,38.06,54.23,Connecticut,334,5.0,3.0,114.0,290.0,1.0,2.0
1968,37.635000000000005,48.23684210526316,58.885000000000005,45.52021739130434,35.8,52.69,Connecticut,351,15.0,6.0,115.0,309.0,1.0,1.0
1969,38.41,48.41,58.50952380952381,49.86844444444444,41.73,59.76,Connecticut,245,11.0,6.0,73.0,197.0,2.0,
1970,38.26190476190476,48.42,58.48,38.80093023255814,30.57,45.74,Connecticut,233,13.0,11.0,50.0,146.0,3.0,7.0
1971,38.93157894736842,49.08947368421053,59.23684210526316,46.17875,37.72,57.3,Connecticut,219,8.0,7.0,61.0,167.0,2.0,5.0
1972,38.0,48.04,58.075,63.47655172413793,54.86,73.96,Connecticut,207,7.0,7.0,57.0,155.0,3.0,1.0
1973,40.25625,50.70625,61.129411764705885,54.769,47.7,65.61,Connecticut,551,20.0,17.0,163.0,453.0,2.0,5.0
1974,38.13333333333333,48.685,59.275,48.90439024390244,39.78,55.46,Connecticut,262,15.0,9.0,60.0,213.0,1.0,5.0
1975,39.44736842105263,49.51111111111111,59.56315789473685,58.158235294117645,47.47,88.52,Connecticut,289,10.0,8.0,63.0,248.0,3.0,7.0
1976,37.205263157894734,48.09473684210526,58.98421052631579,48.388571428571424,39.02,57.19,Connecticut,325,13.0,5.0,76.0,273.0,2.0,2.0
1977,38.15294117647059,48.586666666666666,59.175,54.89333333333333,46.2,64.52,Connecticut,239,10.0,7.0,42.0,177.0,2.0,2.0
1978,36.76470588235294,47.53333333333333,58.28666666666666,47.72310344827586,37.23,55.76,Connecticut,193,11.0,9.0,26.0,130.0,3.0,2.0
1979,40.3235294117647,49.88235294117647,59.45294117647059,57.91,46.66,70.59,Connecticut,360,15.0,6.0,65.0,274.0,3.0,4.0
1980,38.35625,48.95,59.51176470588236,41.18766666666667,31.71,48.96,Connecticut,260,15.0,9.0,54.0,199.0,3.0,4.0
1981,38.75,49.18125,59.6125,42.21903225806452,32.69,51.08,Connecticut,292,21.0,3.0,51.0,265.0,3.0,5.0
1982,37.975,48.626666666666665,59.46666666666667,47.58291666666667,40.14,55.07,Connecticut,202,11.0,12.0,21.0,99.0,1.0,12.0
1983,39.92666666666666,50.22307692307693,60.38,64.034,48.7,73.8,Connecticut,212,13.0,11.0,12.0,117.0,1.0,8.0
1984,39.225,49.17142857142857,59.68125,52.40956521739131,42.88,59.94,Connecticut,213,19.0,13.0,10.0,137.0,4.0,10.0
1985,38.7625,48.93076923076923,59.51428571428572,43.67214285714285,35.86,54.82,Connecticut,160,5.0,16.0,15.0,94.0,2.0,11.0
1986,38.86666666666667,48.77692307692308,59.21428571428572,47.44538461538461,33.77,56.93,Connecticut,221,13.0,4.0,73.0,190.0,3.0,9.0
1987,38.6875,49.44666666666667,60.05625,46.30192307692308,34.38,54.08,Connecticut,123,4.0,4.0,34.0,93.0,1.0,8.0
1988,38.0375,49.0,59.57857142857143,42.59275862068966,37.69,49.8,Connecticut,70,3.0,5.0,3.0,41.0,,11.0
1989,38.086666666666666,48.38666666666666,58.71333333333334,58.1525,44.83,72.65,Connecticut,76,11.0,1.0,2.0,65.0,4.0,10.0
1990,41.766666666666666,52.010000000000005,61.84,56.3464,43.96,63.28,Connecticut,158,14.0,4.0,11.0,85.0,2.0,15.0
1991,40.79285714285714,51.27857142857143,61.89333333333333,47.40541666666667,35.08,52.03,Connecticut,52,2.0,,1.0,31.0,2.0,9.0
1992,37.9875,47.8375,57.970000000000006,49.85409090909091,42.01,59.43,Connecticut,63,9.0,5.0,2.0,46.0,1.0,5.0
1993,37.95,48.86923076923077,59.535714285714285,46.20115384615384,39.13,51.91,Connecticut,43,8.0,1.0,1.0,34.0,1.0,4.0
1994,37.82,48.62857142857143,59.46666666666667,52.25461538461538,40.99,59.65,Connecticut,256,6.0,8.0,55.0,236.0,2.0,2.0
1995,38.080000000000005,48.81428571428571,59.64,43.05272727272728,31.98,51.89,Connecticut,333,26.0,5.0,56.0,295.0,4.0,4.0
1996,38.6,48.37857142857143,58.21333333333334,61.2936,44.97,73.58,Connecticut,114,26.0,4.0,3.0,96.0,4.0,3.0
1997,39.16363636363637,49.13636363636363,59.15833333333333,44.2995652173913,33.94,51.8,Connecticut,183,27.0,4.0,25.0,168.0,4.0,4.0
1998,41.95555555555556,52.28888888888889,62.3,49.105555555555554,41.55,62.17,Connecticut,348,27.0,1.0,63.0,335.0,5.0,2.0
1999,40.52,51.1,61.77272727272727,51.20190476190477,39.74,60.97,Connecticut,388,26.0,,71.0,352.0,4.0,3.0
2000,39.73076923076923,49.56666666666666,59.425,47.669411764705885,40.77,54.92,Connecticut,290,7.0,2.0,63.0,275.0,1.0,3.0
2001,40.70909090909091,51.25454545454545,61.8,39.4155,32.53,47.65,Connecticut,376,7.0,,87.0,366.0,3.0,
2002,41.79166666666666,51.80833333333334,61.64615384615384,47.47952380952381,39.99,55.89,Connecticut,259,2.0,1.0,58.0,234.0,,3.0
2003,39.715384615384615,48.97692307692308,58.23076923076923,54.865,44.69,63.86,Connecticut,263,1.0,,54.0,253.0,1.0,2.0
2004,39.92307692307692,49.7,59.18461538461538,48.4175,41.67,60.25,Connecticut,274,1.0,,63.0,265.0,,1.0
2005,39.74545454545454,49.57272727272727,59.37272727272728,52.215,43.54,61.52,Connecticut,235,3.0,,59.0,221.0,,3.0
2006,41.725,51.127272727272725,60.40909090909091,56.837857142857146,48.34,67.55,Connecticut,155,3.0,1.0,36.0,150.0,,2.0
2007,39.84117647058823,49.74117647058824,59.66470588235294,43.898,32.38,53.05,Connecticut,155,4.0,1.0,27.0,143.0,1.0,2.0
2008,40.4,50.03125,59.64375,59.08611111111111,38.14,73.25,Connecticut,102,3.0,4.0,18.0,86.0,,5.0
2009,39.13846153846154,48.43846153846154,57.75384615384615,48.5725,40.3,58.53,Connecticut,127,2.0,3.0,18.0,109.0,,3.0
2010,41.47857142857144,51.142857142857146,60.82142857142857,48.1075,36.98,57.33,Connecticut,155,2.0,2.0,30.0,108.0,,12.0
2011,40.78333333333333,50.66666666666666,60.53333333333333,65.0628,40.81,79.79,Connecticut,105,3.0,,16.0,89.0,1.0,3.0
2012,42.43529411764706,52.2235294117647,62.02352941176471,39.5328,23.31,48.46,Connecticut,154,6.0,,18.0,112.0,2.0,12.0
2013,39.68,49.68,59.705,45.12777777777778,23.11,57.85,Connecticut,146,3.0,18.0,18.0,67.0,2.0,
2014,38.56111111111111,48.56111111111111,58.58888888888888,45.83863636363637,18.35,58.69,Connecticut,207,6.0,,44.0,174.0,3.0,10.0
2015,39.21,49.83,60.475,37.753461538461536,21.7,48.22,Connecticut,133,3.0,,39.0,121.0,2.0,1.0
2016,41.27894736842105,51.78947368421053,62.31052631578948,37.95193548387097,25.66,46.83,Connecticut,149,4.0,1.0,36.0,104.0,3.0,36.0
2017,41.357894736842105,50.93684210526315,60.51578947368421,46.05659574468085,33.46,56.32,Connecticut,44,,,12.0,29.0,,2.0
2018,41.129411764705885,50.3235294117647,59.51176470588236,63.93021276595744,37.03,76.94,Connecticut,79,1.0,,29.0,75.0,,1.0
2019,39.71176470588235,49.45294117647059,59.17058823529412,56.56262295081967,44.74,66.57,Connecticut,123,6.0,2.0,45.0,106.0,4.0,1.0
2020,42.10714285714285,51.66428571428571,61.221428571428575,45.70911764705882,35.83,54.67,Connecticut,71,1.0,,41.0,68.0,,
2021,42.27857142857143,51.50714285714286,60.721428571428575,53.33441558441559,38.43,66.84,Connecticut,21,1.0,1.0,,19.0,,
2022,40.65625,50.9625,61.30588235294118,46.39820512820513,34.26,57.14,Connecticut,20,1.0,,,10.0,,
2023,42.68666666666666,52.17333333333333,61.66,62.3445205479452,46.2,73.91,Connecticut,30,2.0,3.0,2.0,14.0,1.0,1.0
2024,42.1625,51.95625,61.7625,54.48067567567568,41.6,66.27,Connecticut,6,,,,5.0,,
